,title,author,url,br
0,晚风,小阿枫,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461139078&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
1,Always Online (释怀版),ProdbyMend,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461096405&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
2,我终于等到你 (深情版),好听吗,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461088894&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
3,烟火里的尘埃 (DJ沈念Remix版),李雨婷,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461086649&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
4,见一面少一面 (深情版),张梦心,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461085362&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
5,嗵嗵,DUODUO,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461082454&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
6,林中鸟（来不及祈祷就开始奔跑）,楠菲儿,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461081284&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
7,不谓侠 (2025热搜版),小阿七,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461078309&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
8,鸿雁于飞（女声版）,毛妹妹,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461075659&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
9,谁在乎你吃过多少苦 (DJ女版),王娜,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461063110&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
10,稳稳的幸福,于春洋,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461059784&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
11,一剪梅（吉他版） (cover: 夜子吉他钢琴),塰塰,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461034784&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
12,烟火里的尘埃,en,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461034356&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
13,稳稳的幸福（看到了明明白白的远方 我要的幸福）,七元,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460980347&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
14,我的眼泪不如香水,苏谭谭,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460969078&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
15,伤情2025（李雨亭版）,李雨亭,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460966431&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
16,我走后 (cover: 小咪),江凡凡,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460964479&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
17,情难枕（走心版）,云南三怪,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460962107&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
18,夜愿,洋澜一,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460961379&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
19,恶作剧 (cover: 王蓝茵),宽窄巷子的猫,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460959986&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
20,我们终究成了陌生人 (心碎版),莫南宇,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460955566&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
21,幕后者 (第一次听你说爱我是夏天) (cover: 李俊),朱逐乐,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460953648&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
22,红颜易老 (cover: 小敏),李锦熙,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460949740&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
23,在山花烂漫,黄文文,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460949388&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
24,世界赠予我的时光与倔强（女声版） (cover: 演午),杨曦,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460947911&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
25,在加纳共和国离婚 (你还爱我吗) (cover: 菲道尔|DIOR大颖),皮皮仙儿,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460947167&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
26,spr.,宋亚轩,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460945007&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
27,知我 (cover: 木木),谭渊,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460943898&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
28,嗵嗵（doudou） (cover: 王木木),呆呆吃余,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460941492&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
29,娘子,永恒,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460938699&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
30,烟火里的尘埃 (治愈版),赵乃吉,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460937881&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
31,招摇 (cover: 陈楚生|胡莎莎),南胥月,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460930775&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
32,思乡曲,春雨,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460924729&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
33,人间疾苦 (Live),刘皮特,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460923911&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
34,嘉宾 (粤语版) (Cover 常颖杰),男神丶,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460919033&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
35,月下独酌,二月底,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460913082&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
36,晚风,刘妍菲,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460912325&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
37,当离别开出花 (cover: 也无忧),emr创作者,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460904846&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
38,(La Festa),,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460897239&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
39,Simyee陈芯怡《青花瓷》 (Cover 蓬莱山小乐天),正太音,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460884280&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
40,关于爱的定义 (cover: 方大同),翳峸,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460785653&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
41,老男孩 (COVER版),冉十一,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460780780&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
42,曾经你说 (COVER版),冉十一,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460779743&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
43,玫瑰也曾温柔过(烟嗓女版) (cover: 叫小庄圆梦吖),朱多芬,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460764149&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
44,爱到最后是孤独 (cover: 臭宝),王伊莹,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460735061&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
45,Heaven (升调3版|Cover Ailee),丁辉人的嗓子,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460733455&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
46,风吹的沙砾 (对唱版),洋澜一&amp;方大树,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460721969&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
47,最后一夜 (cover: 刘美君),小枫叶.爱美神,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460700365&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
48,小白 (Cover 周柏豪),一,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460691883&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
49,倘若家乡能安身,魏佳艺,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460666566&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
50,一路向前走,孙艺琪,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460661531&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
51,我们再也见不到了,姜雨涵,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460640022&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
52,后来我们的爱（新版）,橘莜,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460633468&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
53,其实都没有,聪歌,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460632351&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
54,罗生门（follow）降调原版,饭盒,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460625620&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
55,林中鸟（来不及祈祷）,热水福,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460623344&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
56,退让 (cover: 王晴),莫子昊,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460622162&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
57,雨中的悲情,刘晓超,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460621965&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
58,撇清,承桓,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460621944&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
59,远方的姑娘,鹿鸣哥哥,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460621154&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
60,知我 (齐祎枫 remix) (Remix),齐祎枫,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460619738&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
61,月下独酌,叶凡,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460618833&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
62,地平线,陈杭,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460618436&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
63,那个人（伤感版） (cover: 夜星晨),清风,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460617239&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
64,醉仙美 (cover: 萱萱Baby),氿,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460614408&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
65,Ocean,Lady A,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460594936&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
66,我以后再也不会联系你（柔情版）,王超然,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460575292&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
67,爱过头了心难收 (DJEva版),任夏,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460532040&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
68,爱过头了心难收 (DJEva版伴奏),任夏,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460531723&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
69,嗵嗵,Dr.Phonk,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460527853&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
70,跳楼机 (最后我流下了泪),董唧唧&amp;神兔小P,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460522679&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
71,烟火里的尘埃（我的心里住着一个苍老的小孩） (我的心里住着一个苍老的小孩),郁欢,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460522678&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
72,铁血丹心（双胞胎版）,棒棒龙儿歌,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460508018&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
73,一人我饮酒醉 (cover: MC凌涵),灿子,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460508015&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
74,当你孤单你会想起谁,半吨兄弟,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460496199&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
75,世界赠予我的 (合唱版),晏美娇/沈茹心,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460440136&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
76,面朝大海 春暖花开,林朔,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460435878&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
77,差点就是一辈子 (伴奏),任夏,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460430811&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
78,眼泪写下,陈默之,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460430810&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
79,相守,任夏,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460430769&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
